Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
01-11-89,10:25:52,26,4.4,USA TERRITORY,PUERTO RICO,18.986,-68.833,0.1,,,,,
29-10-89,19:09:12,,5.9,ALGERIA,"ALGIERS, CHERCHELL, TIPAZA",36.788,2.448,,,,,,
20-02-90,6:53:39,14,6.4,JAPAN,JAPAN,34.706,139.252,0.16,,,,,
25-03-90,13:22:55,22,7,COSTA RICA,COSTA RICA,9.919,-84.808,1,,10,,60,
05-04-90,21:12:35,11,7.5,USA TERRITORY,"MARIANA TRENCH, N. MARIANA ISLANDS",15.125,147.596,1.8,,,,,
23-09-90,21:13:07,10,6.5,JAPAN,"W. OF BONIN ISLANDS, IZU IS., JAPAN",33.267,138.643,0.2,,,,,
13-12-90,0:24:25,11,5.3,ITALY,EASTERN SICILY,37.3,15.438,0.1,19,200,500,,
13-12-90,19:50:17,10,6.3,TAIWAN,TAIWAN,23.722,121.627,0.04,,,,,
08-02-90,7:15:32,26,6.6,PHILIPPINES,PHILIPPINES,9.755,124.694,2.1,,300,0.9,,600
09-02-91,16:18:58,10,6.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.929,159.139,0.1,,,,,
16-02-91,1:23:40,39,5.7,RUSSIA,N. KURIL ISLANDS,48.268,154.328,0.1,,,,,
21-02-91,2:35:34,20,6.7,USA,"BERING SEA, AK",58.427,-175.45,0.15,,,,,
22-04-91,21:56:51,10,7.6,COSTA RICA,"LIMON, PANDORA",9.685,-83.073,3,89,,510,,
14-10-91,15:58:12,23,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.094,158.442,0.15,,,,,
22-12-91,8:43:13,24,7.6,RUSSIA,S. KURIL ISLANDS,45.533,151.021,0.52,,,,,
25-04-92,18:06:04,15,7.2,USA,"CAPE MENDOCINO, N. CALIFORNIA",40.368,-124.316,1.8,,98,66,,
17-05-92,10:15:31,33,7.3,PHILIPPINES,PHILIPPINES,7.191,126.762,6,,,,,
27-05-92,5:13:38,19,7.1,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.122,165.239,0.1,,,,,
18-07-92,8:36:58,29,7,JAPAN,HONSHU ISLAND,39.419,143.33,0.3,,,,,
02-09-92,0:16:02,40,7.7,NICARAGUA,NICARAGUA,11.727,-87.386,9.9,170,489,30,1500,
11-08-92,15:14:55,16,6.3,JAPAN,,32.536,141.641,,,,,,
07-02-93,13:27:42,11,6.3,JAPAN,HONSHU ISLAND,37.634,137.245,0.5,,,,,
08-06-93,13:03:36,71,7.5,RUSSIA,KAMCHATKA,51.218,157.829,0.1,,,,,
