Date,Time,SameDayAs,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximun_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
20/09/1968,06:09:00,Not linked,107,6.2,VENEZUELA,CARUPANO,10.5,-62.6,,,,,,
25/09/1968,00:00:00,Not linked,138,7,MEXICO,S. MEXICO-GUATEMALA-NICARAGUA,15.6,-92.6,2,15,500,,,
16/05/1968,10:39:01,Not linked,33,7.5,JAPAN,OFF COAST OF HONSHU ISLAND,41.5,142.7,0.58,,,,,
04/05/1968,00:00:00,Not linked,,,CHILE,EASTER ISLAND REGION,-27.15,-109.45,,,,,,
03/09/1968,08:19:52,Not linked,38,6.6,TURKEY,BLACK SEA,41.8,32.3,3,24,200,,2000,
18/04/1968,19:38:15,Not linked,7,4.6,ITALY,LIGURIA-COTE D'AZUR,44.08,8,3,,,,,
23/02/1969,00:36:56,Not linked,13,6.9,INDONESIA,MAKASSAR STRAIT,-3.1,118.9,4,664,97,,1287,
28/02/1969,02:40:32,Not linked,22,7.8,PORTUGAL,PORTUGAL,36.017,-10.95,0.9,13,80,,,
21/04/1969,07:19:00,Not linked,41,6.5,JAPAN,RYUKYU ISLANDS,32.2,132.1,0.1,,,,,
02/08/1969,04:30:29,Not linked,17,5.4,PAPUA NEW GUINEA,BISMARCK SEA,-6.6,146.9,,,,,,
11/08/1969,21:26:36,Not linked,30,8.2,RUSSIA,S. KURIL ISLANDS,43.6,147.9,5,,,,,
22/11/1969,23:09:37,Not linked,51,7.7,RUSSIA,KAMCHATKA,57.7,163.6,15,,,,,
25/12/1969,21:32:27,Not linked,7,7.2,GUADELOUPE (FRENCH TERRITORY),GRAND BOURG,15.8,-59.7,0.46,,,,,
21/03/1969,00:00:00,Not linked,,,PHILIPPINES,LUZON ISLAND,19.077,122.202,,3,,,,
12/04/1969,05:44:00,Not linked,,,SWEDEN,NORSALV RIVER,59.4,13.5,5,,,,,
31/03/1969,00:00:00,Not linked,,7,EGYPT,GULF OF SUEZ,27.7,34,,2,16,,107,
10/01/1970,12:07:08,Not linked,73,7.6,PHILIPPINES,PHILIPPINE TRENCH,6.8,126.7,0.06,,,,,
07/04/1970,05:34:05,Not linked,40,7.3,PHILIPPINES,PHILIPPINE SEA,15.78,121.71,,15,200,,,
14/06/1970,00:00:00,Not linked,10,6,CHILE,SOUTHERN CHILE,-52,-73.8,,,,,,
19/06/1970,10:56:13,Not linked,44,6.4,CHILE,NORTHERN CHILE,-22.28,-70.55,,,,,,
25/07/1970,22:41:10,Not linked,34,7,JAPAN,SEIKAIDO,32.2,131.7,0.32,,13,,,
28/09/1970,19:01:00,Not linked,,5.1,NEW ZEALAND,NEW ZEALAND,-44.64,173.62,1,,,,,
30/09/1970,09:52:22,Not linked,33,5.3,PHILIPPINES,PHILIPPINE TRENCH,20.6,122,,,,,,
31/10/1970,17:53:09,Not linked,8,7.3,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.907,145.471,3,18,20,1.75,800,
28/11/1970,11:08:40,Not linked,33,6,CHILE,NORTHERN CHILE,-20.94,-69.81,,,,,,
04/12/1970,01:59:25,Not linked,7,5.1,RUSSIA,BLACK SEA,43.84,39.34,0.8,,,,,
14/05/1970,18:12:00,Not linked,44,6.5,RUSSIA,CASPIAN SEA,43,47.1,,,,,,
11/03/1970,22:38:34,Not linked,29,6,USA,"ANDREANOF ISLANDS, AK",57.5,-153.9,0.03,,,,,
02/05/1971,06:08:27,Not linked,30,7.1,USA,"ANDREANOF ISLANDS, AK",51.228,-177.173,0.04,,,,,
09/07/1971,03:03:18,Not linked,58,7.8,CHILE,CENTRAL CHILE,-32.5,-71.2,1.2,83,447,236.4,,
14/07/1971,06:11:29,Not linked,47,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-5.5,153.9,6,3,5,,,
26/07/1971,01:23:21,Not linked,48,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-4.9,153.2,10,,,,,
02/08/1971,07:24:56,Not linked,51,7.3,JAPAN,JAPAN TRENCH,41.4,143.5,0.51,,,,,
08/09/1971,11:48:23,Not linked,6,6.6,RUSSIA,TATAR STRAIT,46.4,141.1,0.09,,,,,
08/09/1971,16:59:52,Not linked,16,6.2,RUSSIA,TATAR STRAIT,46.3,140.9,0.07,,,,,
25/09/1971,04:36:14,Not linked,115,7,PAPUA NEW GUINEA,BISMARCK SEA,-6.5,146.6,1.8,,,,,
27/09/1971,19:01:45,Not linked,21,6,RUSSIA,TATAR STRAIT,46.4,141.1,0.03,,,,,
06/11/1971,22:00:00,Not linked,21,5.7,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.5,179.1,0.1,,,,,
06/09/1971,20:00:00,Not linked,,,SOLOMON ISLANDS,"TINAKULA, SANTA CRUZ ISLANDS",-10.38,165.8,,,,,,
15/12/1971,08:29:55,Not linked,33,7.8,RUSSIA,KAMCHATKA,56,163.3,0.47,,,,,
06/09/1971,13:37:10,Not linked,29,5.5,RUSSIA,TATAR STRAIT,46.7,141.4,0.32,,,,,
05/09/1971,18:35:25,Not linked,9,7.1,RUSSIA,TATAR STRAIT,46.5,141.2,2,,,,,
19/03/1971,00:00:00,Not linked,,,PERU,CHUNGAR,-11.116,-76.5,30,600,,,,
25/01/1972,02:06:23,Not linked,33,7.5,TAIWAN,E. TAIWAN,22.5,122.3,0.05,1,,,5,
29/02/1972,09:22:59,Not linked,56,7.4,JAPAN,EAST OFF HACHIJO ISLAND,33.3,140.8,0.42,,,,,
08/06/1972,18:53:41,Not linked,39,6.6,CHILE,CENTRAL CHILE,-30.5,-71.8,,,,,,
30/07/1972,21:45:14,Not linked,25,7.6,USA,"SE. ALASKA, AK",56.82,-135.685,0.1,,,,,
17/08/1972,23:44:05,Not linked,10,7.1,PAPUA NEW GUINEA,SOLOMON SEA,-6,152.9,0.6,,,,,
26/08/1972,08:15:00,Not linked,,,PAPUA NEW GUINEA,SOLOMON SEA,-6.7,147,1.5,,,,,
06/09/1972,11:42:23,Not linked,15,5.2,JAPAN,JAPAN,32.9,130.3,,,,,,
09/10/1972,00:00:00,Not linked,,,PAPUA NEW GUINEA,"RITTER ISLAND, PAPUA NEW GUINEA",-5.52,148.121,,,,,,
02/12/1972,00:19:47,Not linked,33,7.4,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.5,126.6,0.5,,,,,
04/12/1972,10:16:12,Not linked,66,7.4,JAPAN,CHICHI JIMA,33.3,140.7,0.5,,,,,
29/12/1972,04:51:01,Not linked,60,5.4,CHILE,CENTRAL CHILE,-30.6,-71,,,,,,
30/01/1973,21:01:12,Not linked,43,7.5,MEXICO,S. MEXICO,18.48,-103,1.13,56,390,,,
28/02/1973,06:37:49,Not linked,27,7.2,RUSSIA,N. KURIL ISLANDS,50.5,156.6,1.5,,,,,
17/06/1973,03:55:02,Not linked,48,7.7,JAPAN,HOKKAIDO ISLAND,43.2,145.8,5.96,,27,5,2,
24/06/1973,02:43:25,Not linked,50,7.1,RUSSIA,S. KURIL ISLANDS,43.3,146.4,0.64,,1,,,
05/10/1973,05:47:51,Not linked,14,6.7,CHILE,CENTRAL CHILE,-32.5,-71.5,0.4,,,,,
17/03/1973,08:30:51,Not linked,33,7.5,PHILIPPINES,QUEZON,13.4,122.8,1.3,15,64,0.45,,
26/06/1973,22:32:00,Not linked,,6.6,RUSSIA,S. KURIL ISLANDS,43.2,146.6,0.21,,,,,
31/01/1974,23:30:05,Not linked,34,7,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,155.9,1.5,,,,,
01/02/1974,03:12:33,Not linked,40,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.4,155.6,4.5,,,,,
08/05/1974,23:33:25,Not linked,2,6.7,JAPAN,TOKAIDO,34.6,138.7,0.2,30,137,,134,
18/08/1974,10:44:12,Not linked,36,7.1,CHILE,SOUTHERN CHILE,-38.5,-73.4,,,,,,
27/09/1974,05:47:29,Not linked,43,6.7,RUSSIA,S. KURIL ISLANDS,43.2,146.7,0.37,,,,,
03/10/1974,14:21:29,Not linked,13,8.1,PERU,CENTRAL PERU,-12.27,-77.79,0.92,78,2414,10,,
17/10/1974,00:00:00,Not linked,70,,PAPUA NEW GUINEA,"RITTER ISLAND, PAPUA NEW GUINEA",-5.52,148.121,0.5,,,,,
17/10/1974,19:05:00,Not linked,,,CANADA,"KITIMAT INLET, BRITISH COLOMBIA",54,-128.7,2.8,,,,,
15/01/1975,09:42:24,Not linked,33,5.9,INDONESIA,BANDA SEA,-5,130,,,,,81,
13/03/1975,15:26:42,Not linked,4,6.9,CHILE,CENTRAL CHILE,-29.9,-71.3,,2,25,,,
10/06/1975,13:47:14,Not linked,15,7,RUSSIA,S. KURIL ISLANDS,43.024,147.734,5.5,,,,,
20/07/1975,14:37:39,Not linked,49,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-6.59,155.054,2,,,,,
31/10/1975,08:28:02,Not linked,50,7.6,PHILIPPINES,PHILIPPINE TRENCH,12.54,125.993,3,1,,,30,
29/11/1975,14:47:40,Not linked,2,7.7,USA,HAWAII,19.451,-155.033,14.3,2,19,4,,
26/12/1975,15:56:38,Not linked,33,7.8,SAMOA,SAMOA ISLANDS,-16.265,-172.467,0.38,,,,,
26/05/1975,09:11:51,Not linked,33,7.7,ATLANTIC OCEAN,AZORES GIBRALTAR FRACTURE ZONE,35.997,-17.649,0.76,,,,,
27/04/1975,18:05:00,Not linked,,,CANADA,"KITIMAT INLET, BRITISH COLUMBIA",53.98,-128.68,4.1,,,,,
16/12/1975,21:01:39,Not linked,33,4.9,FIJI,FIJI ISLANDS,-18.672,178.464,0.25,,,,,
14/01/1976,16:47:33,Not linked,33,8,NEW ZEALAND,KERMADEC ISLANDS,-28.427,-177.657,0.9,,,,,
21/01/1976,10:05:24,Not linked,41,7,RUSSIA,S. KURIL ISLANDS,44.915,149.123,0.38,,,,,
11/07/1976,16:54:31,Not linked,22,6.7,PANAMA,PANAMA,7.4,-78.1,,5,7,,,
02/04/1977,07:15:22,Not linked,33,7.6,SAMOA,SAMOA ISLANDS,-16.696,-172.095,0.08,,,,,
20/04/1977,23:13:10,Not linked,33,6.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.828,163.323,0.15,34,,,,
21/04/1977,04:24:09,Not linked,33,8.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.965,160.731,0.04,18,1,,,
22/06/1977,12:08:33,Not linked,65,7.2,TONGA,TONGA TRENCH,-22.878,-175.9,0.4,,,,,
19/08/1977,06:08:55,Not linked,33,8,INDONESIA,SUNDA ISLANDS,-11.085,118.464,15,189,75,1.2,,
20/08/1977,00:00:00,Not linked,,5.5,PAPUA NEW GUINEA,ADMIRALTY ISLANDS,-1.1,146.2,0.5,,,,,
28/08/1977,20:10:05,Not linked,33,5.5,PAPUA NEW GUINEA,ADMIRALTY ISLANDS,-1.081,146.23,0.6,,,,,
10/10/1977,11:53:53,Not linked,33,7.2,TONGA,TONGA TRENCH,-25.856,-175.406,0.03,,,,,
20/04/1977,23:42:50,Not linked,19,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.89,160.348,,,,,,
14/01/1978,03:24:39,Not linked,,6.6,JAPAN,TOKAIDO,34.809,139.259,0.35,25,129,,85,544
22/03/1978,00:50:32,Not linked,33,6.7,RUSSIA,S. KURIL ISLANDS,44.026,149.002,0.07,,,,,
23/03/1978,00:31:02,Not linked,46,6.8,RUSSIA,S. KURIL ISLANDS,44.209,148.971,0.17,,,,,
23/03/1978,03:15:20,Not linked,33,7.5,RUSSIA,S. KURIL ISLANDS,44.932,148.439,0.3,,,,,
24/03/1978,19:47:50,Not linked,33,7.6,RUSSIA,S. KURIL ISLANDS,44.244,148.862,0.65,,,,,
12/06/1978,08:14:26,Not linked,44,7.7,JAPAN,SANRIKU,38.19,142.03,0.6,28,1000,865,,
14/06/1978,12:32:33,Not linked,24,6.9,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",8.249,122.403,0.03,,,,,
20/06/1978,20:03:21,Not linked,3,6.4,GREECE,"THESSALONIKI (SALONICA), GREECE",40.739,23.229,0.45,50,,250,,
23/07/1978,14:42:36,Not linked,17,7.4,TAIWAN,TAIWAN,22.282,121.512,0.05,,,,,
